,ip,date,time,cik,accession,extention
0,101.81.133.jja,2017-06-30,00:00:00,1608552.0,0001047469-17-004337,-index.htm
1,107.23.85.jfd,2017-06-30,00:00:00,1027281.0,0000898430-02-001167,-index.htm
2,107.23.85.jfd,2017-06-30,00:00:00,1136894.0,0000905148-07-003827,-index.htm
3,107.23.85.jfd,2017-06-30,00:00:00,1136894.0,0000905148-07-005350,-index.htm
4,107.23.85.jfd,2017-06-30,00:00:00,1136894.0,0000905148-07-003547,-index.htm
5,107.23.85.jfd,2017-06-30,00:00:00,841535.0,0000841535-10-000003,-index.htm
6,107.23.85.jfd,2017-06-30,00:00:00,1372211.0,0001371385-06-000003,-index.htm
7,107.23.85.jfd,2017-06-30,00:00:00,1372211.0,0001144204-06-036568,-index.htm
8,107.23.85.jfd,2017-06-30,00:00:00,1136894.0,0000905148-07-004108,-index.htm
9,107.23.85.jfd,2017-06-30,00:00:00,1027281.0,0001193125-04-067355,-index.htm
10,107.23.85.jfd,2017-06-30,00:00:00,1372211.0,0001351930-06-000042,-index.htm
11,107.23.85.jfd,2017-06-30,00:00:00,1136894.0,0000905148-07-005886,-index.htm
12,107.23.85.jfd,2017-06-30,00:00:00,841535.0,0000841535-05-000002,-index.htm
13,107.23.85.jfd,2017-06-30,00:00:00,1027281.0,0000930413-03-001723,-index.htm
14,107.23.85.jfd,2017-06-30,00:00:00,1372211.0,0001361234-06-000006,-index.htm
15,107.23.85.jfd,2017-06-30,00:00:00,1027281.0,0001193125-04-052715,-index.htm
16,107.23.85.jfd,2017-06-30,00:00:00,1027281.0,0001162318-03-000346,-index.htm
17,107.23.85.jfd,2017-06-30,00:00:00,1027281.0,0001125282-01-502758,-index.htm
18,107.23.85.jfd,2017-06-30,00:00:00,841535.0,0000841535-07-000003,-index.htm
19,107.23.85.jfd,2017-06-30,00:00:00,1372211.0,0001351930-07-000004,-index.htm
20,107.23.85.jfd,2017-06-30,00:00:00,841535.0,0000841535-06-000007,-index.htm
21,107.23.85.jfd,2017-06-30,00:00:00,1372211.0,0001019965-07-000162,-index.htm
22,107.23.85.jfd,2017-06-30,00:00:00,841535.0,0000841535-08-000004,-index.htm
23,107.23.85.jfd,2017-06-30,00:00:00,1027281.0,0001193125-04-052717,-index.htm
24,107.23.85.jfd,2017-06-30,00:00:00,1353083.0,0001068238-06-000177,-index.htm
25,107.23.85.jfd,2017-06-30,00:00:00,841535.0,0000841535-09-000003,-index.htm
26,107.23.85.jfd,2017-06-30,00:00:00,1136894.0,0000905148-07-003904,-index.htm
27,107.23.85.jfd,2017-06-30,00:00:00,1136894.0,0000905148-07-004707,-index.htm
28,109.145.75.gge,2017-06-30,00:00:00,725363.0,0001236031-06-000018,primary_doc.xml
29,109.145.75.gge,2017-06-30,00:00:00,746598.0,0001345100-06-000317,edgar.xml
30,109.145.75.gge,2017-06-30,00:00:00,352915.0,0001181431-06-052579,-index.htm
31,109.145.75.gge,2017-06-30,00:00:00,725363.0,0001236031-06-000019,xslF345X02/primary_doc.xml
32,109.145.75.gge,2017-06-30,00:00:00,746598.0,0001345100-06-000318,xslF345X02/edgar.xml
33,109.145.75.gge,2017-06-30,00:00:00,108985.0,0000108985-06-000074,xslF345X02/primary_doc.xml
34,109.145.75.gge,2017-06-30,00:00:00,352915.0,0001181431-06-052579,xslF345X02/rrd130175.xml
35,109.145.75.gge,2017-06-30,00:00:00,1255821.0,0001369224-06-000002,-index.htm
36,109.145.75.gge,2017-06-30,00:00:00,725363.0,0001236031-06-000019,-index.htm
37,109.145.75.gge,2017-06-30,00:00:00,1228055.0,0001228055-06-000002,primary_doc.xml
38,109.145.75.gge,2017-06-30,00:00:00,746598.0,0001345100-06-000318,-index.htm
39,115.111.60.idd,2017-06-30,00:00:00,109563.0,0000109563-17-000076,-index.htm
40,115.111.60.idd,2017-06-30,00:00:00,109563.0,0000109563-17-000076,-index.htm
41,116.226.185.ceb,2017-06-30,00:00:00,858446.0,0001191638-09-000211,-index.htm
42,117.91.231.fjf,2017-06-30,00:00:00,1053092.0,0000950103-17-006275,-index.htm
43,117.91.231.fjf,2017-06-30,00:00:00,831001.0,0000950103-17-006267,-index.htm
44,117.91.231.fjf,2017-06-30,00:00:00,312070.0,0001193125-17-218445,-index.htm
45,117.91.231.fjf,2017-06-30,00:00:00,1100663.0,0001193125-17-218506,-index.htm
46,117.91.231.fjf,2017-06-30,00:00:00,1053092.0,0000950103-17-006266,-index.htm
47,117.91.231.fjf,2017-06-30,00:00:00,1053092.0,0000950103-17-006247,-index.htm
48,117.91.231.fjf,2017-06-30,00:00:00,1100663.0,0001193125-17-218506,-index.htm
49,117.91.231.fjf,2017-06-30,00:00:00,831001.0,0000950103-17-006267,-index.htm
50,117.91.231.fjf,2017-06-30,00:00:00,1515156.0,0001515156-17-000082,-index.htm
51,117.91.231.fjf,2017-06-30,00:00:00,831001.0,0000950103-17-006303,-index.htm
52,117.91.231.fjf,2017-06-30,00:00:00,312070.0,0001193125-17-218445,-index.htm
53,117.91.231.fjf,2017-06-30,00:00:00,831001.0,0000950103-17-006303,-index.htm
54,121.40.65.ebc,2017-06-30,00:00:00,354707.0,0001104659-17-041803,-index.htm
55,121.40.65.ebc,2017-06-30,00:00:00,354707.0,0001104659-17-041803,-index.htm
56,121.40.66.aie,2017-06-30,00:00:00,1290476.0,0001144204-17-034040,-index.htm
57,121.40.66.aie,2017-06-30,00:00:00,1290476.0,0001144204-17-034040,-index.htm
58,128.138.64.cej,2017-06-30,00:00:00,745543.0,0000745543-06-000004,.txt
59,128.138.64.cej,2017-06-30,00:00:00,913293.0,0000950134-06-015373,.txt
60,128.250.0.cdg,2017-06-30,00:00:00,935419.0,0001144204-16-116924,v446146_ex10-1.htm
61,128.250.0.cdg,2017-06-30,00:00:00,935419.0,0001144204-15-044347,v416311_ex10-1.htm
62,128.250.0.cdg,2017-06-30,00:00:00,935419.0,0001144204-14-056912,v389471_ex10-1.htm
63,137.135.107.cje,2017-06-30,00:00:00,1642616.0,0001213900-17-006980,-index.htm
64,137.135.107.cje,2017-06-30,00:00:00,1643304.0,0000899243-17-017517,-index.htm
65,137.135.107.cje,2017-06-30,00:00:00,1642616.0,0001213900-17-006980,-index.htm
66,139.199.159.caf,2017-06-30,00:00:00,1598655.0,0000930413-17-000182,-index.htm
67,144.203.129.hji,2017-06-30,00:00:00,1178862.0,0001178862-14-000006,bir-20131231x10k.htm
68,146.88.97.jag,2017-06-30,00:00:00,1541157.0,0001144204-17-034986,-index.htm
69,146.88.97.jag,2017-06-30,00:00:00,1541157.0,0001144204-17-034986,-index.htm
70,149.56.12.jbf,2017-06-30,00:00:00,860516.0,0000898432-17-000491,-index.htm
71,149.56.12.jbf,2017-06-30,00:00:00,770952.0,0000898432-17-000490,-index.htm
72,149.56.12.jbf,2017-06-30,00:00:00,770952.0,0000898432-17-000490,-index.htm
73,149.56.12.jbf,2017-06-30,00:00:00,770952.0,0000898432-17-000494,-index.htm
74,149.56.12.jbf,2017-06-30,00:00:00,770952.0,0000898432-17-000494,-index.htm
75,155.201.34.ahg,2017-06-30,00:00:00,1326801.0,0001326801-15-000006,fb-12312014x10k.htm
76,157.55.39.eih,2017-06-30,00:00:00,84748.0,0000084748-09-000026,xslF345X03/primary_doc.xml
77,158.132.91.haf,2017-06-30,00:00:00,1521342.0,0001127602-16-047493,.txt
78,158.132.91.haf,2017-06-30,00:00:00,1521342.0,0001127602-16-047493,.txt
79,162.249.57.hhg,2017-06-30,00:00:00,1034462.0,0001181431-14-026967,.txt
80,162.249.57.hhg,2017-06-30,00:00:00,1034462.0,0001181431-14-025941,.txt
81,162.27.66.bbb,2017-06-30,00:00:00,1615165.0,0001193125-17-084011,-index.htm
82,163.117.2.gai,2017-06-30,00:00:00,1095330.0,0001140361-08-006920,.txt
83,163.172.71.jda,2017-06-30,00:00:00,785186.0,0001179110-06-013044,-index.htm
84,163.172.71.jda,2017-06-30,00:00:00,785186.0,0001179110-06-013044,-index.htm
85,163.172.71.jda,2017-06-30,00:00:00,785186.0,0001179110-06-013044,-index.htm
86,165.124.130.igj,2017-06-30,00:00:00,1205948.0,0000009389-04-000014,.txt
87,165.124.130.igj,2017-06-30,00:00:00,1134780.0,0001012870-01-500021,.txt
88,165.124.130.igj,2017-06-30,00:00:00,754737.0,0001225208-07-003180,.txt
89,165.124.130.igj,2017-06-30,00:00:00,1206628.0,0001091818-04-000076,.txt
90,165.124.130.igj,2017-06-30,00:00:00,860857.0,0000860857-01-500004,.txt
91,165.124.130.igj,2017-06-30,00:00:00,893738.0,0000893738-01-500002,.txt
92,165.124.130.igj,2017-06-30,00:00:00,754737.0,0001225208-07-002884,.txt
93,165.124.130.igj,2017-06-30,00:00:00,754737.0,0001225208-07-003181,.txt
94,165.124.130.igj,2017-06-30,00:00:00,1021848.0,0000899681-01-000008,.txt
95,165.124.130.igj,2017-06-30,00:00:00,1101396.0,0001044197-01-000022,.txt
96,165.124.130.igj,2017-06-30,00:00:00,754737.0,0001225208-07-002883,.txt
97,165.124.130.jdj,2017-06-30,00:00:00,1171486.0,0000950129-02-004761,.txt
98,165.124.130.jdj,2017-06-30,00:00:00,1194790.0,0000101830-05-000041,.txt
99,165.124.130.jdj,2017-06-30,00:00:00,1177929.0,9999999997-02-041556,.txt
100,165.124.130.jdj,2017-06-30,00:00:00,1177929.0,9999999997-02-050668,.txt
101,165.124.130.jdj,2017-06-30,00:00:00,1019531.0,0001019531-05-000002,.txt
102,165.124.130.jdj,2017-06-30,00:00:00,1140378.0,9999999997-02-041105,.txt
103,165.124.130.jdj,2017-06-30,00:00:00,1007660.0,0001193125-05-008844,.txt
104,165.124.130.jdj,2017-06-30,00:00:00,1164034.0,0001181431-05-009290,.txt
105,165.124.130.jhd,2017-06-30,00:00:00,1016395.0,0000950147-03-000475,.txt
106,165.124.130.jhd,2017-06-30,00:00:00,882835.0,0001209191-06-014524,.txt
